Time (UTCG),Position (x),Position (y),Position (z)
1 Oct 2025 07:14:50.000,-3762.117345156711,5645.809085555777,1131.4248756974014
1 Oct 2025 07:15:00.000,-3751.5991954143155,5667.198754376765,1056.9635335245168
1 Oct 2025 07:15:10.000,-3740.5271546948343,5687.878944106558,982.4963176373096
1 Oct 2025 07:15:20.000,-3728.9263450728295,5707.873912615553,907.7959871304286
1 Oct 2025 07:15:30.000,-3716.8921445245205,5727.098044080496,832.9892197189436
1 Oct 2025 07:15:40.000,-3704.2235346529696,5745.664893383101,758.2033835341715
1 Oct 2025 07:15:50.000,-3691.14158565216,5763.463134966489,683.2102407171956
1 Oct 2025 07:16:00.000,-3677.6451343043636,5780.476242545733,608.1370247751842
1 Oct 2025 07:16:10.000,-3663.5386423395285,5796.8278972468315,532.9925421091407
1 Oct 2025 07:16:20.000,-3648.928685145173,5812.448880436804,457.7856048959238
1 Oct 2025 07:16:30.000,-3633.919496304058,5827.265414386011,382.6441486140883
1 Oct 2025 07:16:40.000,-3618.4238304663218,5841.349295588616,307.33882216933205
1 Oct 2025 07:16:50.000,-3602.4436163103887,5854.689316114435,231.99749010216175
1 Oct 2025 07:17:00.000,-3585.9851056148073,5867.281147189839,156.628980091044
1 Oct 2025 07:17:10.000,-3569.0546746879877,5879.120539580539,81.24212195993469
1 Oct 2025 07:17:20.000,-3551.6587051977376,5890.20340355699,5.8457470619948
1 Oct 2025 07:17:30.000,-3533.8037158745547,5900.525716976348,-69.55131257052092
1 Oct 2025 07:17:40.000,-3515.4962449758837,5910.083607095787,-144.94022481722865
1 Oct 2025 07:17:50.000,-3496.7448532698745,5918.876625285801,-220.19291764235732
1 Oct 2025 07:18:00.000,-3477.4495660441708,5926.956313838513,-295.53909047795565
1 Oct 2025 07:18:10.000,-3457.8251759009877,5934.199591427619,-370.85064039407627
1 Oct 2025 07:18:20.000,-3437.7751808445914,5940.664081845088,-446.1187421377701
1 Oct 2025 07:18:30.000,-3417.202712715805,5946.4061080066285,-521.3345737011816
1 Oct 2025 07:18:40.000,-3396.322180327935,5951.302854418556,-596.4893174465319
1 Oct 2025 07:18:50.000,-3374.938720843021,5955.4803744108885,-671.4554222434216
1 Oct 2025 07:19:00.000,-3353.152310810221,5958.856813993985,-746.4616904393216
1 Oct 2025 07:19:10.000,-3330.975252578567,5961.438388880652,-821.3804636818028
1 Oct 2025 07:19:20.000,-3308.310666929284,5963.280139303787,-896.2029479936774
1 Oct 2025 07:19:30.000,-3285.382176128309,5964.278417582074,-970.8022357045438
1 Oct 2025 07:19:40.000,-3261.9731663518223,5964.517318164876,-1045.4059809567552
1 Oct 2025 07:19:50.000,-3238.2120330803273,5963.967609354636,-1119.7693895692373
1 Oct 2025 07:20:00.000,-3213.9841209915007,5962.649948884655,-1194.1193776955683
1 Oct 2025 07:20:10.000,-3189.4202740868677,5960.54082209316,-1268.2119845244645
1 Oct 2025 07:20:20.000,-3164.5077379337527,5957.600374822884,-1342.2732791648032
1 Oct 2025 07:20:30.000,-3139.1717072077777,5953.921730307357,-1416.0602488650163
1 Oct 2025 07:20:40.000,-3113.513447798741,5949.427968892649,-1489.6815037252059
1 Oct 2025 07:20:50.000,-3087.437008807121,5944.171339232853,-1563.1283869918047
1 Oct 2025 07:21:00.000,-3061.054132022183,5938.095555257318,-1636.3922562363107
1 Oct 2025 07:21:10.000,-3034.3726833975325,5931.199250750682,-1709.4644836225061
1 Oct 2025 07:21:20.000,-3007.297236324531,5923.533654976522,-1782.3364576136908
1 Oct 2025 07:21:30.000,-2979.8361781202166,5915.096235584804,-1854.9995830409566
1 Oct 2025 07:21:40.000,-2952.101091358245,5905.833034699594,-1927.4452815479283
1 Oct 2025 07:21:50.000,-2923.9972273418725,5895.794201072264,-1999.6649937313937
1 Oct 2025 07:22:00.000,-2895.5492580673153,5885.009984660144,-2071.536352291169
1 Oct 2025 07:22:10.000,-2866.8370141788955,5873.364500771551,-2143.27888438159
1 Oct 2025 07:22:20.000,-2837.7989061931376,5860.972872634655,-2214.6568598899858
1 Oct 2025 07:22:30.000,-2808.5127135646007,5847.715758642371,-2285.8882637990005
1 Oct 2025 07:22:40.000,-2778.817301476605,5833.760748586827,-2356.7390468890017
1 Oct 2025 07:22:50.000,-2748.9089106238043,5818.973843217667,-2427.313835484606
1 Oct 2025 07:23:00.000,-2718.6947378784685,5803.402534486962,-2497.6042588396685
1 Oct 2025 07:23:10.000,-2688.1841491189703,5787.045412446058,-2567.6019709643674
1 Oct 2025 07:23:20.000,-2657.5066421217166,5769.896623842654,-2637.188365706165
